,Code,Price,Title,Issue
132,OCT250133,14.5,JUDGE DREDD MEGAZINE #487 (MR) (C: 0-1-2),
133,OCT250134,23.99,SILVER UNEARTHED GN (C: 0-1-2),
134,OCT250135,38.99,SLAINE THE DEFINITIVE ED HC VOL 01 PX ED (C: 0-1-2),
135,OCT250136,25.95,SLAINE THE DEFINITIVE EDITION TP VOL 01 (C: 0-1-2),
136,OCT250137,47.99,SLAINE THE DEFINITIVE ED HC VOL 02 PX ED (C: 0-1-2),
137,OCT250138,39.99,SLAINE THE DEFINITIVE EDITION TP VOL 02 (C: 0-1-2),
138,OCT250139,23.99,SPIDERS SYNDICATE OF CRIME VS SPIDER BOY SC (C: 0-1-2),
139,OCT250140,4.95,AFTERBURN BAD BLOOD #4 (C: 0-1-1),
140,OCT250141,4.95,SOMETHING BEYOND THE PETRICHOR #4 (C: 0-1-1),
141,OCT250142,12.99,GABBY TORRES IS THE BEST WINNER EVER GN,
142,OCT250143,19.99,GABBY TORRES IS THE BEST WINNER EVER HC,
143,OCT250144,34.95,KILLER BODIES THE RISE AND FALL OF BAD GIRL COMICS SC (MR) (,
144,OCT250145,17.95,LIVE-ACTION ANIMATED FILM SC (MR) (C: 0-1-2),
145,OCT250146,5.49,CHRISTMAS SPECIAL 25 (C: 0-1-2),
146,OCT250147,5.99,KAIJUNIOR VOL 1 #1 CVR A GANUCHEAU (C: 0-1-2),
147,OCT250148,5.99,KAIJUNIOR VOL 1 #1 CVR B DROUIN (C: 0-1-2),
148,OCT250149,5.99,KAIJUNIOR VOL 1 #1 CVR C RUSSO & PELLEGRINI (C: 0-1-2),
149,OCT250150,41.99,BOGIE MAN INCOMPLETE CASE FILES SGN ED SC (C: 0-1-2),
150,OCT250151,35.99,ROK THE GOD SGN ED SC (C: 0-1-2),
151,OCT250152,28,DRAWN TO NATURE AMERICAN ANIMATION IN THE AGE OF SCIENCE SC,
152,OCT250153,39.95,FANTASTIC PAINTINGS OF FRAZETTA HC (CURR PTG),
153,OCT250154,39.95,SENSUOUS FRAZETTA HC (MR),
154,OCT250155,6.99,VAMPIRESS CARMILLA MAGAZINE #31 (MR) (C: 0-1-2),
155,OCT250156,13.95,HEAVENLY DELUSION GN VOL 08 (C: 0-1-1),
156,OCT250157,12.95,TODAYS MENU FOR EMIYA FAMILY GN VOL 07 (C: 0-1-2),
157,OCT250158,6.99,BUCK ROGERS 2425 #1 (OF 5) (C: 0-1-2),
158,OCT250159,6.99,BUCK ROGERS 2425 #2 (OF 5) (C: 0-1-2),
159,OCT250160,6.99,BUCK ROGERS 2425 #3 (OF 5) (C: 0-1-2),
160,OCT250161,6.99,BUCK ROGERS 2425 #4 (OF 5) (C: 0-1-2),
161,OCT250162,6.99,BUCK ROGERS 2425 #5 (OF 5) (C: 0-1-2),
162,OCT250163,15.99,MANGA WORLDS COLORING BOOK SC (C: 0-1-2),
163,OCT250164,15.95,BETRAYERS LOVE SONG GN VOL 01 (C: 0-1-0),
164,OCT250165,39.99,OSAKA GENSO ART WORKS HC (C: 0-1-2),
